address,lat,long
1AC,-23.096656,-48.93188
1CB,-21.14578,-48.976977
2LP,-23.715,-50.41722
A2G,-22.472972,-48.987778
ABB,-22.88183056,-49.24279444
ADX,-23.13364444,-49.05185278
AGD,-22.48436111,-48.99554444
AGS,-22.471917,-48.965517
AHN,-21.1995,-50.434
AJB,-21.229511,-50.435789
AJU,-21.215522,-50.419769
AMU,-21.206436,-50.441825
ANO,-21.210203,-50.464608
APM,-24.370831,-49.053872
ARF,-21.18448333,-50.44247222
ARP,-21.193203,-50.465281
ARW,-23.112944,-48.903778
AVI,-23.102508,-48.923558
AVR,-23.08851389,-48.91708056
AXD,-21.134739,-48.949611
AXU,-21.211886,-50.469708
AY2,-23.103861,-48.947333
AYD,-23.080589,-48.924181
AZU,-21.08893056,-50.57986667
B1Q,-23.293189,-47.650992
BAK,-22.343744,-49.062286
BCH,-24.47733333,-49.01317778
BCP,-23.313694,-47.639917
BED,-22.311989,-49.1203
BFF,-20.81717778,-47.58524722
BHK,-24.58481,-48.5933
BKH,-22.284019,-49.086272
BKL,-22.319347,-49.132358
BKV,-22.291756,-49.068564
BMD,-22.290717,-49.048567
BNO,-22.266611,-49.060278
BQV,-23.3117,-47.681764
BRC,-23.29358333,-47.7213
BTV,-23.28505,-47.67188611
BVJ,-23.290806,-47.69
BVW,-23.275028,-47.709317
CDU,-21.125406,-49.006919
CFL,-21.80534167,-49.61683056
CKR,-23.202622,-47.795093
CQA,-23.172194,-47.730328
CQI,-23.15083611,-47.74047222
CRQ,-23.165286,-47.750564
CTD,-21.173822,-48.969625
CTI,-21.13685556,-48.972275
CZD,-21.1253,-48.9898
DCO,-22.213467,-51.540653
DDM,-22.721219,-49.307008
DGD,-22.62618611,-50.90753056
DLO,-22.998078,-48.684989
DMC,-21.744169,-50.1102
DSS,-22.443683,-48.009842
DTI,-21.151194,-48.983331
DTO,-23.26501389,-47.66281944
DTT,-22.458067,-48.987992
DUV,-22.363581,-48.673061
EGT,-21.15075556,-50.49580278
FCJ,-20.520425,-47.40828056
FVL,-23.182539,-47.749203
GLO,-21.118775,-48.95244444
GPI,-20.53744444,-47.85088889
GSF,-22.315053,-49.095756
GWT,-23.64646111,-47.15286944
HGI,-21.123292,-48.968033
IPI,-22.309106,-48.698494
JTN,-21.172444,-50.4635
KFB,-21.804186,-49.600914
KFC,-21.815722,-49.594389
KNH,-23.431222,-47.391528
KSD,-20.324231,-49.042631
KTA,-21.153911,-48.968142
KTP,-21.196111,-50.447614
LBG,-22.624722,-48.769444
LCC,-22.596117,-48.798611
LGS,-22.849192,-49.236708
LPH,-22.606528,-48.809917
LPI,-22.574083,-48.810192
LPQ,-22.588333,-48.806389
LPY,-22.621278,-48.792417
MCI,-22.5025,-48.71
MJP,-22.525889,-48.721417
PEM,-22.43166667,-49.12583333
PGA1,-24.63025,-48.599169
PGA2,-22.302383,-49.100178
PGA3,-22.318083,-50.281
PGA4,-21.153194,-50.461444
PKZ,-23.096694,-48.906917
PM4,-21.55823,-49.8668
PMO,-21.535833,-49.859167
PNN,-23.549928,-48.514297
POM,-22.10694444,-50.1925
PPO,-22.398192,-49.130806
PUP,-22.1009,-50.2505
PXC,-22.1053,-50.1661
PZB,-20.399,-49.97125
RBB,-24.2225,-48.76694444
RRG,-22.305,-51.24222222
RTZ,-22.610744,-48.786586
RZR,-23.67891389,-47.24325
SAD,-23.443383,-47.374678
SHT,-23.505419,-47.449839
SID,-23.440931,-47.416328
STG,-22.87555556,-49.97666667
STG,-22.87555556,-49.97666667
TEJ,-23.348539,-49.365444
VGR,-22.302061,-49.067747
VIU,-20.420022,-49.97385
VLI,-22.328592,-49.118439
VM1,-20.959444,-51.194722
VMQ,-22.329217,-49.074675
VPF,-22.328667,-49.103389
VTV,-23.595833,-47.435833
VTW,-20.418247,-49.997964
VVD,-23.11687222,-48.92927222
VVM,-20.436,-49.97006389
WJD,-23.507392,-47.47955
XBR,-22.379459,-49.028407
YOC,-24.25992222,-49.00441111
YPI,-23.75572222,-47.20751667
ZBE,-22.276453,-49.076919
